STUID,经度,纬度,经济指数
0,1,0.719509985,1
1,1,0.719509985,1
2,1,0.719509985,1
3,1,0.719509985,1
4,1,0.719509985,1
5,1,0.719509985,1
6,1,0.719509985,1
7,1,0.719509985,1
8,1,0.719509985,1
9,1,0.719509985,1
10,1,0.719509985,1
11,1,0.719509985,1
12,1,0.719509985,1
13,1,0.719509985,1
14,1,0.719509985,1
15,1,0.719509985,1
16,1,0.719509985,1
17,1,0.719509985,1
18,1,0.719509985,1
19,1,0.719509985,1
20,1,0.719509985,1
21,1,0.719509985,1
22,1,0.719509985,1
23,1,0.719509985,1
24,1,0.719509985,1
25,1,0.719509985,1
26,1,0.719509985,1
27,1,0.719509985,1
28,1,0.719509985,1
29,1,0.719509985,1
30,1,0.719509985,1
31,1,0.719509985,1
32,1,0.719509985,1
33,1,0.719509985,1
34,1,0.719509985,1
35,1,0.719509985,1
36,1,0.719509985,1
37,1,0.719509985,1
38,1,0.719509985,1
39,1,0.719509985,1
40,1,0.719509985,1
41,1,0.719509985,1
42,1,0.719509985,1
43,1,0.719509985,1
44,1,0.719509985,1
45,1,0.719509985,1
46,1,0.719509985,1
47,1,0.719509985,1
48,1,0.719509985,1
49,1,0.719509985,1
50,1,0.719509985,1
51,1,0.719509985,1
52,1,0.719509985,1
53,1,0.719509985,1
54,1,0.719509985,1
55,1,0.719509985,1
56,1,0.719509985,1
57,1,0.719509985,1
58,1,0.719509985,1
59,1,0.719509985,1
60,1,0.719509985,1
61,1,0.719509985,1
62,1,0.719509985,1
63,1,0.719509985,1
64,1,0.719509985,1
65,1,0.719509985,1
66,1,0.719509985,1
67,1,0.719509985,1
68,1,0.719509985,1
69,1,0.719509985,1
70,1,0.719509985,1
71,1,0.719509985,1
72,1,0.719509985,1
73,1,0.719509985,1
74,1,0.719509985,1
75,1,0.719509985,1
76,1,0.719509985,1
77,1,0.719509985,1
78,1,0.719509985,1
79,1,0.719509985,1
80,1,0.719509985,1
81,1,0.719509985,1
82,1,0.719509985,1
83,1,0.719509985,1
84,1,0.719509985,1
85,1,0.719509985,1
86,1,0.719509985,1
87,1,0.719509985,1
88,1,0.719509985,1
89,1,0.719509985,1
90,1,0.719509985,1
91,1,0.719509985,1
92,1,0.719509985,1
93,1,0.719509985,1
94,1,0.719509985,1
95,1,0.719509985,1
96,1,0.719509985,1
97,1,0.719509985,1
98,1,0.719509985,1
99,1,0.719509985,1
100,1,0.719509985,1
101,1,0.719509985,1
102,1,0.719509985,1
103,1,0.719509985,1
104,1,0.719509985,1
105,1,0.719509985,1
106,1,0.719509985,1
107,1,0.719509985,1
108,1,0.719509985,1
109,1,0.719509985,1
110,1,0.719509985,1
111,1,0.719509985,1
112,1,0.719509985,1
113,1,0.719509985,1
114,1,0.719509985,1
115,1,0.719509985,1
116,1,0.719509985,1
117,1,0.719509985,1
118,1,0.719509985,1
119,1,0.719509985,1
120,1,0.719509985,1
121,1,0.719509985,1
122,1,0.719509985,1
123,1,0.719509985,1
124,1,0.719509985,1
125,1,0.719509985,1
126,1,0.719509985,1
127,1,0.719509985,1
128,1,0.719509985,1
129,1,0.719509985,1
130,1,0.719509985,1
131,1,0.719509985,1
132,1,0.719509985,1
133,1,0.719509985,1
134,1,0.719509985,1
135,1,0.719509985,1
136,1,0.719509985,1
137,1,0.719509985,1
