STUID,经度,纬度,经济指数
0,0.111147968,0.36971156,0.338547876
1,0.111147968,0.36971156,0.338547876
2,0.111147968,0.36971156,0.338547876
3,0.111147968,0.36971156,0.338547876
4,0.111147968,0.36971156,0.338547876
5,0.111147968,0.36971156,0.338547876
6,0.111147968,0.36971156,0.338547876
7,0.111147968,0.36971156,0.338547876
8,0.111147968,0.36971156,0.338547876
9,0.111147968,0.36971156,0.338547876
10,0.111147968,0.36971156,0.338547876
11,0.111147968,0.36971156,0.338547876
12,0.111147968,0.36971156,0.338547876
13,0.111147968,0.36971156,0.338547876
14,0.111147968,0.36971156,0.338547876
15,0.111147968,0.36971156,0.338547876
16,0.111147968,0.36971156,0.338547876
17,0.111147968,0.36971156,0.338547876
18,0.111147968,0.36971156,0.338547876
19,0.111147968,0.36971156,0.338547876
20,0.111147968,0.36971156,0.338547876
21,0.111147968,0.36971156,0.338547876
22,0.111147968,0.36971156,0.338547876
23,0.111147968,0.36971156,0.338547876
24,0.111147968,0.36971156,0.338547876
25,0.111147968,0.36971156,0.338547876
26,0.111147968,0.36971156,0.338547876
27,0.111147968,0.36971156,0.338547876
28,0.111147968,0.36971156,0.338547876
29,0.111147968,0.36971156,0.338547876
30,0.111147968,0.36971156,0.338547876
31,0.111147968,0.36971156,0.338547876
32,0.111147968,0.36971156,0.338547876
33,0.111147968,0.36971156,0.338547876
34,0.111147968,0.36971156,0.338547876
35,0.111147968,0.36971156,0.338547876
36,0.111147968,0.36971156,0.338547876
37,0.111147968,0.36971156,0.338547876
38,0.111147968,0.36971156,0.338547876
39,0.111147968,0.36971156,0.338547876
40,0.111147968,0.36971156,0.338547876
41,0.111147968,0.36971156,0.338547876
42,0.111147968,0.36971156,0.338547876
43,0.111147968,0.36971156,0.338547876
44,0.111147968,0.36971156,0.338547876
45,0.111147968,0.36971156,0.338547876
46,0.111147968,0.36971156,0.338547876
47,0.111147968,0.36971156,0.338547876
48,0.111147968,0.36971156,0.338547876
49,0.111147968,0.36971156,0.338547876
50,0.111147968,0.36971156,0.338547876
51,0.111147968,0.36971156,0.338547876
52,0.111147968,0.36971156,0.338547876
53,0.111147968,0.36971156,0.338547876
54,0.111147968,0.36971156,0.338547876
55,0.111147968,0.36971156,0.338547876
56,0.111147968,0.36971156,0.338547876
57,0.111147968,0.36971156,0.338547876
58,0.111147968,0.36971156,0.338547876
59,0.111147968,0.36971156,0.338547876
60,0.111147968,0.36971156,0.338547876
61,0.111147968,0.36971156,0.338547876
62,0.111147968,0.36971156,0.338547876
63,0.111147968,0.36971156,0.338547876
64,0.111147968,0.36971156,0.338547876
65,0.111147968,0.36971156,0.338547876
66,0.111147968,0.36971156,0.338547876
