STUID,经度,纬度,经济指数
0,0.191747606,0.399015924,0.567586719
1,0.173130119,0.647200716,0.497585817
2,0.190840665,0.467161528,0.705465294
3,0.12557506,0.553470364,0.254462902
4,0.15837589,0.70041172,0.245715719
5,0.047636364,0.642960749,0.170327316
6,0.12557506,0.553470364,0.254462902
7,0.09674354,0.413468128,0.229448544
8,0.09674354,0.413468128,0.229448544
9,0.191747606,0.399015924,0.567586719
10,0.174796132,0.460154809,0.216352243
11,0.12557506,0.553470364,0.254462902
12,0.190840665,0.467161528,0.705465294
13,0.174796132,0.460154809,0.216352243
14,0.151160613,0.120764229,0.631136407
15,0.166582453,0.336430591,0.210997356
16,0.111147968,0.36971156,0.338547876
17,0.190840665,0.467161528,0.705465294
18,0.111147968,0.36971156,0.338547876
19,0,0.922677812,0.155927439
20,0.15837589,0.70041172,0.245715719
21,0.190840665,0.467161528,0.705465294
22,0.111147968,0.36971156,0.338547876
23,0.111147968,0.36971156,0.338547876
24,0.111147968,0.36971156,0.338547876
25,0.151160613,0.120764229,0.631136407
26,0.146841501,0.693090087,0.195340025
27,0.121866429,0.109064402,0.171812652
28,0.173130119,0.647200716,0.497585817
29,0.151160613,0.120764229,0.631136407
30,0.166582453,0.336430591,0.210997356
31,0.111147968,0.36971156,0.338547876
32,0.169612703,0.772653003,0.955987109
33,0.151160613,0.120764229,0.631136407
34,0.186743758,0.235375382,0.42789521
35,0.191747606,0.399015924,0.567586719
36,0,0.922677812,0.155927439
37,0.190840665,0.467161528,0.705465294
38,0.191747606,0.399015924,0.567586719
39,0.12557506,0.553470364,0.254462902
40,0.09674354,0.413468128,0.229448544
41,0.09674354,0.413468128,0.229448544
42,0.151160613,0.120764229,0.631136407
43,0.174796132,0.460154809,0.216352243
44,0.112379342,0.254918281,0.120358185
45,0.17424778,0.742373942,0.775330908
46,0.166582453,0.336430591,0.210997356
47,0,0.922677812,0.373221036
48,0.190840665,0.467161528,0.705465294
49,0.17424778,0.742373942,0.775330908
50,0.121866429,0.109064402,0.171812652
51,0.190840665,0.467161528,0.705465294
52,0.190840665,0.467161528,0.705465294
53,0.222283611,0.927346407,0.2357272
54,0.111147968,0.36971156,0.338547876
55,0.09674354,0.413468128,0.229448544
56,0.12557506,0.553470364,0.254462902
57,0.15837589,0.70041172,0.245715719
58,0.09674354,0.413468128,0.229448544
59,0,0.922677812,0.155927439
60,0.190840665,0.467161528,0.705465294
61,0.111147968,0.36971156,0.338547876
62,0.166582453,0.336430591,0.210997356
63,0.166582453,0.336430591,0.210997356
64,0.173130119,0.647200716,0.497585817
65,0.153432826,0.572693764,0.25126377
66,0.047636364,0.642960749,0.170327316
67,0.17424778,0.742373942,0.775330908
68,0.111147968,0.36971156,0.338547876
69,0.186743758,0.235375382,0.42789521
70,0.111147968,0.36971156,0.338547876
71,0.12557506,0.553470364,0.254462902
72,0.12557506,0.553470364,0.254462902
73,0.153432826,0.572693764,0.25126377
74,0.111147968,0.36971156,0.338547876
75,0.191747606,0.399015924,0.567586719
76,0.15837589,0.70041172,0.245715719
77,0.112379342,0.254918281,0.120358185
78,0.190840665,0.467161528,0.705465294
79,0.190840665,0.467161528,0.705465294
80,0.23006662,1,0.245879867
81,0.15837589,0.70041172,0.245715719
82,0.173130119,0.647200716,0.497585817
83,0.111147968,0.36971156,0.338547876
84,0.151160613,0.120764229,0.631136407
85,0.111147968,0.36971156,0.338547876
86,0.111147968,0.36971156,0.338547876
87,0.111147968,0.36971156,0.338547876
88,0.111147968,0.36971156,0.338547876
89,0.088750762,0.195177981,0.12782292
90,0.174796132,0.460154809,0.216352243
91,0.12557506,0.553470364,0.254462902
92,0.17424778,0.742373942,0.775330908
93,0.173130119,0.647200716,0.497585817
94,0.111147968,0.36971156,0.338547876
95,0.12557506,0.553470364,0.254462902
96,0.17424778,0.742373942,0.775330908
97,0.173130119,0.647200716,0.497585817
98,0.09674354,0.413468128,0.229448544
99,0.12557506,0.553470364,0.254462902
100,0.153432826,0.572693764,0.25126377
101,0.23006662,1,0.245879867
102,0.186743758,0.235375382,0.42789521
103,0.157171822,0.410550213,0.333668947
104,0.173130119,0.647200716,0.497585817
105,0.09674354,0.413468128,0.229448544
106,0.174796132,0.460154809,0.216352243
107,0.146841501,0.693090087,0.195340025
108,0.157171822,0.410550213,0.333668947
109,0.111147968,0.36971156,0.338547876
110,0.09674354,0.413468128,0.229448544
111,0.173130119,0.647200716,0.497585817
112,0.173130119,0.647200716,0.497585817
113,0.09674354,0.413468128,0.229448544
114,0.09674354,0.413468128,0.229448544
115,0.151160613,0.120764229,0.631136407
116,0.15837589,0.70041172,0.245715719
117,0.12557506,0.553470364,0.254462902
118,0.111147968,0.36971156,0.338547876
119,0.169612703,0.772653003,0.955987109
120,0.15837589,0.70041172,0.245715719
121,0.174796132,0.460154809,0.216352243
122,0,0.922677812,0.373221036
123,0,0.922677812,0.155927439
124,0.186743758,0.235375382,0.42789521
125,0.09674354,0.413468128,0.229448544
126,0.157171822,0.410550213,0.333668947
127,0.15837589,0.70041172,0.245715719
128,0.111147968,0.36971156,0.338547876
129,0.09674354,0.413468128,0.229448544
130,0.151160613,0.120764229,0.631136407
131,0.23006662,1,0.245879867
132,0.151160613,0.120764229,0.631136407
133,0.149398681,0.317689431,0.267487794
134,0.190840665,0.467161528,0.705465294
135,0.09674354,0.413468128,0.229448544
136,0.186743758,0.235375382,0.42789521
137,0.173130119,0.647200716,0.497585817
138,0.112379342,0.254918281,0.120358185
139,0.149398681,0.317689431,0.267487794
140,0.169612703,0.772653003,0.955987109
141,0.166582453,0.336430591,0.210997356
142,0.173130119,0.647200716,0.497585817
143,0.151160613,0.120764229,0.631136407
144,0.15837589,0.70041172,0.245715719
145,0.149398681,0.317689431,0.267487794
146,0.09674354,0.413468128,0.229448544
147,0.190840665,0.467161528,0.705465294
148,0,0.922677812,0.155927439
149,0.174796132,0.460154809,0.216352243
150,0.151160613,0.120764229,0.631136407
151,0.15837589,0.70041172,0.245715719
152,0.153432826,0.572693764,0.25126377
153,0.149398681,0.317689431,0.267487794
154,0.146841501,0.693090087,0.195340025
155,0.09674354,0.413468128,0.229448544
156,0.191747606,0.399015924,0.567586719
157,0.173130119,0.647200716,0.497585817
158,0.174796132,0.460154809,0.216352243
159,0.151160613,0.120764229,0.631136407
160,0.153432826,0.572693764,0.25126377
161,0.190840665,0.467161528,0.705465294
162,0.146841501,0.693090087,0.195340025
163,0.09674354,0.413468128,0.229448544
164,0.09674354,0.413468128,0.229448544
165,0.111147968,0.36971156,0.338547876
166,0.173130119,0.647200716,0.497585817
167,0.09674354,0.413468128,0.229448544
168,0.111147968,0.36971156,0.338547876
169,0.111147968,0.36971156,0.338547876
170,0.174796132,0.460154809,0.216352243
171,0.153432826,0.572693764,0.25126377
172,0.157171822,0.410550213,0.333668947
173,0.09674354,0.413468128,0.229448544
174,0.15837589,0.70041172,0.245715719
175,0.146841501,0.693090087,0.195340025
176,0.111147968,0.36971156,0.338547876
177,0.174796132,0.460154809,0.216352243
178,0.186743758,0.235375382,0.42789521
179,0.15837589,0.70041172,0.245715719
180,0.157171822,0.410550213,0.333668947
181,0.173130119,0.647200716,0.497585817
182,0.157171822,0.410550213,0.333668947
183,0.146841501,0.693090087,0.195340025
184,0.153432826,0.572693764,0.25126377
185,0.173130119,0.647200716,0.497585817
186,0.146841501,0.693090087,0.195340025
187,0.09674354,0.413468128,0.229448544
188,0.111147968,0.36971156,0.338547876
189,0.111147968,0.36971156,0.338547876
190,0,0.922677812,0.155927439
191,0.111147968,0.36971156,0.338547876
192,0.157171822,0.410550213,0.333668947
193,0.166582453,0.336430591,0.210997356
194,0,0.922677812,0.373221036
195,0.12557506,0.553470364,0.254462902
196,0.109740792,0.677925382,0.217499229
197,0.173130119,0.647200716,0.497585817
198,0.12557506,0.553470364,0.254462902
199,0.09674354,0.413468128,0.229448544
200,0.174796132,0.460154809,0.216352243
201,0.15837589,0.70041172,0.245715719
202,0.211090591,0.846147923,0.38265404
203,0.09674354,0.413468128,0.229448544
204,0.088750762,0.195177981,0.12782292
205,0.23006662,1,0.245879867
206,0.15837589,0.70041172,0.245715719
207,0.174796132,0.460154809,0.216352243
208,0.09346174,0.622499835,0.086186741
209,0.121866429,0.109064402,0.171812652
210,0.112379342,0.254918281,0.120358185
211,0.153432826,0.572693764,0.25126377
212,0.166582453,0.336430591,0.210997356
213,0.173130119,0.647200716,0.497585817
214,0.111147968,0.36971156,0.338547876
215,0.174796132,0.460154809,0.216352243
216,0.23006662,1,0.245879867
217,0.111147968,0.36971156,0.338547876
218,0.186743758,0.235375382,0.42789521
219,0.09346174,0.622499835,0.086186741
220,0.121866429,0.109064402,0.171812652
221,0.153432826,0.572693764,0.25126377
222,0.166582453,0.336430591,0.210997356
223,0.12557506,0.553470364,0.254462902
224,0.09674354,0.413468128,0.229448544
225,0.111147968,0.36971156,0.338547876
226,0.111147968,0.36971156,0.338547876
227,0.157171822,0.410550213,0.333668947
228,0,0.922677812,0.155927439
229,0.111147968,0.36971156,0.338547876
230,0.157171822,0.410550213,0.333668947
231,0.166582453,0.336430591,0.210997356
232,0.09674354,0.413468128,0.229448544
233,0.191747606,0.399015924,0.567586719
234,0.157171822,0.410550213,0.333668947
235,0.190840665,0.467161528,0.705465294
236,0.111147968,0.36971156,0.338547876
237,0.173130119,0.647200716,0.497585817
238,0.146841501,0.693090087,0.195340025
239,0.12557506,0.553470364,0.254462902
240,0.111147968,0.36971156,0.338547876
241,0.111147968,0.36971156,0.338547876
242,0.15837589,0.70041172,0.245715719
243,0.149398681,0.317689431,0.267487794
244,0.166582453,0.336430591,0.210997356
245,0.174796132,0.460154809,0.216352243
246,0.186743758,0.235375382,0.42789521
247,0.151160613,0.120764229,0.631136407
248,0.12557506,0.553470364,0.254462902
249,0.09674354,0.413468128,0.229448544
250,0.09674354,0.413468128,0.229448544
251,0.111147968,0.36971156,0.338547876
252,0.12557506,0.553470364,0.254462902
253,0.15837589,0.70041172,0.245715719
254,0.09674354,0.413468128,0.229448544
255,0.09674354,0.413468128,0.229448544
256,0.09346174,0.622499835,0.086186741
257,0.121866429,0.109064402,0.171812652
258,0.112379342,0.254918281,0.120358185
259,0.157171822,0.410550213,0.333668947
260,0.190840665,0.467161528,0.705465294
261,0.166582453,0.336430591,0.210997356
262,0.09674354,0.413468128,0.229448544
263,0.111147968,0.36971156,0.338547876
264,0.15837589,0.70041172,0.245715719
265,0.173130119,0.647200716,0.497585817
266,0.190840665,0.467161528,0.705465294
267,0.09674354,0.413468128,0.229448544
268,0.09674354,0.413468128,0.229448544
269,0.09674354,0.413468128,0.229448544
270,0.191747606,0.399015924,0.567586719
271,0.111147968,0.36971156,0.338547876
272,0.111147968,0.36971156,0.338547876
273,0.112379342,0.254918281,0.120358185
274,0.191747606,0.399015924,0.567586719
275,0.173130119,0.647200716,0.497585817
276,0.09674354,0.413468128,0.229448544
277,0.09674354,0.413468128,0.229448544
278,0.153432826,0.572693764,0.25126377
279,0.157171822,0.410550213,0.333668947
280,0.173130119,0.647200716,0.497585817
281,0.186743758,0.235375382,0.42789521
282,0.166582453,0.336430591,0.210997356
283,0.111147968,0.36971156,0.338547876
284,0.149398681,0.317689431,0.267487794
285,0.191747606,0.399015924,0.567586719
286,0.111147968,0.36971156,0.338547876
287,0.121866429,0.109064402,0.171812652
288,0.09674354,0.413468128,0.229448544
289,0.157171822,0.410550213,0.333668947
290,0.186743758,0.235375382,0.42789521
291,0.174796132,0.460154809,0.216352243
292,0.153432826,0.572693764,0.25126377
293,0.146841501,0.693090087,0.195340025
294,0.191747606,0.399015924,0.567586719
295,0.111147968,0.36971156,0.338547876
296,0.111147968,0.36971156,0.338547876
297,0.23006662,1,0.245879867
298,0.111147968,0.36971156,0.338547876
299,0.111147968,0.36971156,0.338547876
300,0.174796132,0.460154809,0.216352243
301,0.151160613,0.120764229,0.631136407
302,0.153432826,0.572693764,0.25126377
303,0.149398681,0.317689431,0.267487794
304,0.190840665,0.467161528,0.705465294
305,0.186743758,0.235375382,0.42789521
306,0.153432826,0.572693764,0.25126377
307,0.173130119,0.647200716,0.497585817
308,0.09674354,0.413468128,0.229448544
309,0.111147968,0.36971156,0.338547876
310,0.111147968,0.36971156,0.338547876
311,0.15837589,0.70041172,0.245715719
312,0.109740792,0.677925382,0.217499229
313,0.15837589,0.70041172,0.245715719
314,0,0.922677812,0.373221036
315,0.157171822,0.410550213,0.333668947
316,0.190840665,0.467161528,0.705465294
317,0.166582453,0.336430591,0.210997356
318,0.111147968,0.36971156,0.338547876
319,0.111147968,0.36971156,0.338547876
320,0.109740792,0.677925382,0.217499229
321,0.17424778,0.742373942,0.775330908
322,0.174796132,0.460154809,0.216352243
323,0.09674354,0.413468128,0.229448544
324,0.17424778,0.742373942,0.775330908
325,0.111147968,0.36971156,0.338547876
326,0.09674354,0.413468128,0.229448544
327,0.121866429,0.109064402,0.171812652
328,0.173130119,0.647200716,0.497585817
329,0.12557506,0.553470364,0.254462902
330,0.111147968,0.36971156,0.338547876
331,0.09674354,0.413468128,0.229448544
332,0.174796132,0.460154809,0.216352243
333,0.09346174,0.622499835,0.086186741
334,0.149398681,0.317689431,0.267487794
335,0.088750762,0.195177981,0.12782292
336,0.109740792,0.677925382,0.217499229
337,0.111147968,0.36971156,0.338547876
338,0.111147968,0.36971156,0.338547876
339,0.15837589,0.70041172,0.245715719
340,0.146841501,0.693090087,0.195340025
341,0.12557506,0.553470364,0.254462902
342,0.191747606,0.399015924,0.567586719
343,0.111147968,0.36971156,0.338547876
344,0.111147968,0.36971156,0.338547876
345,0.111147968,0.36971156,0.338547876
346,0.166582453,0.336430591,0.210997356
347,0.09674354,0.413468128,0.229448544
348,0.09674354,0.413468128,0.229448544
349,0.15837589,0.70041172,0.245715719
350,0.111147968,0.36971156,0.338547876
351,0.186743758,0.235375382,0.42789521
352,0.111147968,0.36971156,0.338547876
353,0.153432826,0.572693764,0.25126377
354,0.153432826,0.572693764,0.25126377
355,0.157171822,0.410550213,0.333668947
356,0.173130119,0.647200716,0.497585817
357,0.09674354,0.413468128,0.229448544
358,0.09674354,0.413468128,0.229448544
359,0.09674354,0.413468128,0.229448544
360,0,0.922677812,0.155927439
361,0.174796132,0.460154809,0.216352243
362,0.157171822,0.410550213,0.333668947
363,0.12557506,0.553470364,0.254462902
364,0.186743758,0.235375382,0.42789521
365,0.174796132,0.460154809,0.216352243
366,0.186743758,0.235375382,0.42789521
367,0.174796132,0.460154809,0.216352243
368,0.149398681,0.317689431,0.267487794
369,0.109740792,0.677925382,0.217499229
370,0.09674354,0.413468128,0.229448544
371,0.17424778,0.742373942,0.775330908
372,0.111147968,0.36971156,0.338547876
373,0.111147968,0.36971156,0.338547876
374,0.157171822,0.410550213,0.333668947
375,0.09674354,0.413468128,0.229448544
376,0.111147968,0.36971156,0.338547876
377,0.174796132,0.460154809,0.216352243
378,0.149398681,0.317689431,0.267487794
379,0.190840665,0.467161528,0.705465294
380,0.09674354,0.413468128,0.229448544
381,0.09674354,0.413468128,0.229448544
382,0.09674354,0.413468128,0.229448544
383,0.111147968,0.36971156,0.338547876
384,0.111147968,0.36971156,0.338547876
385,0.157171822,0.410550213,0.333668947
386,0.09674354,0.413468128,0.229448544
387,0.111147968,0.36971156,0.338547876
388,0.15837589,0.70041172,0.245715719
389,0.166582453,0.336430591,0.210997356
390,0.09674354,0.413468128,0.229448544
391,0.09674354,0.413468128,0.229448544
392,0.111147968,0.36971156,0.338547876
393,0.190840665,0.467161528,0.705465294
394,0.09674354,0.413468128,0.229448544
395,0.111147968,0.36971156,0.338547876
